morphospecies	ordered_vines	questionable	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
0_Vitis_riparia	x028_495622	NA	-0.0477774	-0.00141941	0.00929449	0.000846353	-0.0287486	0.0236426	-0.0209039	-0.0313238	-0.0132794	0.00463099
0_Vitis_riparia	x029_588054	NA	-0.0465877	-0.000961314	0.00843226	0.00212125	-0.0247941	0.0174019	-0.0175256	-0.0262919	-0.00969633	0.00320757
0_Vitis_riparia	x030_588167	NA	-0.0465675	-0.000822948	0.00826419	0.00139756	-0.0278512	0.0189691	-0.014554	-0.0319785	-0.00608383	0.00594516
0_Vitis_riparia	x031_588190	NA	-0.045407	-0.00169429	0.00777939	0.00234071	-0.0279963	0.019873	-0.0186492	-0.0279175	-0.0102087	-0.00239117
0_Vitis_riparia	x032_588214	NA	-0.0463883	-0.000268599	0.00832362	0.00143671	-0.0241683	0.019284	-0.0129936	-0.0276836	-0.00931447	-0.000703405
0_Vitis_riparia	x033_588258	NA	-0.0469569	-0.00127772	0.00838304	0.00149752	-0.0281341	0.0186944	-0.016673	-0.0276084	-0.0101388	0.00137481
0_Vitis_riparia	x034_588259	NA	-0.0463985	-0.00140423	0.00912005	0.00142015	-0.0282808	0.0191543	-0.016367	-0.0288589	-0.00555277	0.00306018
0_Vitis_riparia	x035_588260	NA	-0.0467992	-0.00171306	0.00926963	0.00200504	-0.0288093	0.0184251	-0.0172918	-0.0261653	-0.00447034	0.000218648
0_Vitis_riparia	x036_588260	NA	-0.0468978	-0.0027859	0.00873041	0.00180106	-0.027975	0.0184886	-0.0161284	-0.0247634	-0.0050008	0.000894649
0_Vitis_riparia	x037_588261	NA	-0.0457475	-0.00015976	0.0093419	0.000956604	-0.0235048	0.0169909	-0.0145859	-0.0250251	-0.00906315	0.0025097
0_Vitis_riparia	x038_588262	NA	-0.0458012	-0.000893374	0.0081593	0.00167948	-0.0247722	0.016485	-0.0154834	-0.0269832	-0.00647209	0.00340967
0_Vitis_riparia	x039_588269	NA	-0.0476671	0.000564644	0.00907934	0.00147512	-0.0329843	0.0234181	-0.0196605	-0.0347335	-0.00903364	0.00314022
0_Vitis_riparia	x040_588269	NA	-0.0487452	0.00111443	0.00775243	0.00125827	-0.0329364	0.0240192	-0.0198896	-0.0393719	-0.0119429	0.00832344
0_Vitis_riparia	x041_588271	NA	-0.0466844	-0.00211177	0.00907658	0.00208484	-0.0248773	0.0173686	-0.015003	-0.02551	-0.00776641	0.000915949
0_Vitis_riparia	x042_588272	NA	-0.0489657	-0.000187219	0.00887367	0.00178173	-0.0331553	0.0239654	-0.0176063	-0.0369399	-0.0115448	0.00577062
0_Vitis_riparia	x043_588273	NA	-0.0490424	-1.19E-05	0.00802299	0.000828783	-0.0348797	0.0245909	-0.0195332	-0.0354608	-0.0097709	0.0015063
0_Vitis_riparia	x044_588273	NA	-0.0485582	0.00018537	0.00920994	0.00120107	-0.0278753	0.0223737	-0.0187067	-0.039786	-0.0113059	0.00714163
0_Vitis_riparia	x045_588274	NA	-0.0481671	-0.000588035	0.0086551	7.63E-05	-0.0320867	0.0223941	-0.0219451	-0.0371293	-0.0104492	0.00372074
0_Vitis_riparia	x046_588274	NA	-0.0490459	-0.000146926	0.00756226	-0.000560792	-0.0328686	0.0234697	-0.0194888	-0.0357785	-0.00955873	0.00285076
0_Vitis_riparia	x047_588275	NA	-0.0479467	-0.00111613	0.00861749	0.00197485	-0.0263024	0.0168185	-0.0178859	-0.0266862	-0.00596943	0.00239403
0_Vitis_riparia	x048_588276	NA	-0.0489053	-0.000351101	0.00951991	0.00249212	-0.0324667	0.0220208	-0.0190537	-0.0343225	-0.0107801	0.00707229
0_Vitis_riparia	x049_588276	NA	-0.0487822	0.000300748	0.00863588	0.00140982	-0.0319867	0.0211976	-0.0209429	-0.0378827	-0.00964325	0.00522259
0_Vitis_riparia	x050_588304	NA	-0.0447799	-0.00138757	0.00842763	0.00176443	-0.0279151	0.019309	-0.0174846	-0.02813	-0.00964831	-0.00109878
0_Vitis_riparia	x051_588345	NA	-0.047474	-0.000582794	0.00746876	0.00194608	-0.0271507	0.0190121	-0.0150675	-0.0293245	-0.00606928	0.0032101
0_Vitis_riparia	x052_588346	NA	-0.0494168	-0.000611656	0.00930766	0.00251538	-0.0311223	0.0226514	-0.0187428	-0.0329004	-0.00791078	0.00256376
0_Vitis_riparia	x053_588349	NA	-0.0480771	3.54E-05	0.0096117	0.00143122	-0.0319242	0.0230384	-0.020247	-0.0340757	-0.00897496	0.00101344
0_Vitis_riparia	x054_588350	NA	-0.0489986	0.000775674	0.00777483	0.00178709	-0.0307006	0.021859	-0.0163771	-0.0333881	-0.00814832	0.00158138
0_Vitis_riparia	x055_588353	NA	-0.0485437	0.000184453	0.00919882	0.00117992	-0.0322446	0.0226364	-0.0193564	-0.0356644	-0.0102595	0.0067201
0_Vitis_riparia	x056_588354	NA	-0.0460373	-9.99E-05	0.00859322	0.00174348	-0.0273114	0.0173471	-0.015522	-0.0272128	-0.0101501	0.00211191
0_Vitis_riparia	x057_588369	NA	-0.0460795	5.15E-06	0.00682812	0.00100239	-0.0237441	0.0190515	-0.0126544	-0.0273538	-0.00985757	0.00173311
0_Vitis_riparia	x058_588374	NA	-0.0486669	-0.000700927	0.00947298	7.13E-05	-0.0318936	0.02372	-0.0197108	-0.0341406	-0.00912698	0.00278551
0_Vitis_riparia	x059_588400	NA	-0.046082	-0.000998136	0.00858994	0.00133655	-0.0239778	0.0162031	-0.0143737	-0.0236035	-0.00950258	0.00429166
0_Vitis_riparia	x060_588404	NA	-0.0440368	-0.00122227	0.0089319	0.00170037	-0.0181573	0.0111904	-0.0116159	-0.0141711	-0.00532596	0.00427336
0_Vitis_riparia	x061_588406	NA	-0.0466568	-0.00128234	0.00892626	0.00154268	-0.0243611	0.0183492	-0.0160073	-0.0257242	-0.00823603	0.00601269
0_Vitis_riparia	x062_588435	NA	-0.0451574	-0.000466677	0.00934066	0.00138811	-0.0249297	0.0156021	-0.0143308	-0.0243144	-0.00689602	0.00100671
0_Vitis_riparia	x063_588436	NA	0.0108555	0.029861	-0.0543952	-0.0144483	0.114273	0.0342154	0.162995	-0.149377	-0.0799405	-0.143206
0_Vitis_riparia	x064_588437	NA	-0.0441072	-0.000136157	0.00711822	0.000688597	-0.0231833	0.0167268	-0.0141221	-0.0222067	-0.00763009	0.00225713
0_Vitis_riparia	x065_588440	NA	-0.0433906	-0.00206199	0.00628701	0.00271253	-0.000245773	-0.00615907	-0.00187441	0.0118431	0.00347551	-0.00731172
0_Vitis_riparia	x066_588455	NA	-0.0466818	-0.00082177	0.0077553	0.00103966	-0.0236192	0.0151745	-0.0135986	-0.0219828	-0.00753739	0.00141646
0_Vitis_riparia	x067_588456	NA	-0.0462017	-0.00150738	0.00931607	0.00252057	-0.0252567	0.0177965	-0.0158324	-0.0239265	-0.00780788	0.00131484
0_Vitis_riparia	x068_588483	NA	-0.0341065	0.0111236	0.0164342	0.00181368	-0.0290249	0.0166197	-0.0172792	-0.0234555	-0.00371085	0.00419662
0_Vitis_riparia	x069_588510	NA	-0.047863	-0.00089214	0.0088141	0.00104575	-0.0305212	0.0214313	-0.0189883	-0.0334898	-0.00970039	0.00383193
0_Vitis_riparia	x070_588562	NA	-0.0454566	0.00119311	0.00976352	0.00104389	-0.0247846	0.0173182	-0.0165917	-0.0298784	-0.00552766	0.00306066
0_Vitis_riparia	x071_588586	NA	-0.0471203	-0.000853707	0.00984195	0.00120648	-0.0316974	0.0232379	-0.0218065	-0.0335151	-0.0103577	0.00231459
0_Vitis_riparia	x072_588586	NA	-0.0470345	-8.79E-05	0.0101759	0.000937578	-0.0307984	0.0222752	-0.02075	-0.031337	-0.00899045	0.000744405
0_Vitis_riparia	x073_588586	NA	-0.0480531	-0.000239623	0.0091466	0.00117247	-0.0314973	0.020806	-0.0197738	-0.0329041	-0.0112347	0.00466088
0_Vitis_riparia	x074_588586	NA	-0.0476736	-0.00183329	0.0102494	0.00209317	-0.0294019	0.0197011	-0.0189487	-0.0346883	-0.012475	0.00811165
0_Vitis_riparia	x075_588586	NA	-0.046888	-0.00179567	0.00925853	0.00127434	-0.0286898	0.019888	-0.0189854	-0.032052	-0.0083401	0.00368487
0_Vitis_riparia	x076_588586	NA	-0.0486571	-0.00036118	0.00949642	0.00074114	-0.0280984	0.0193891	-0.0161865	-0.0284987	-0.00796679	0.00369973
0_Vitis_riparia	x077_588586	NA	-0.0485118	-0.000722417	0.00955577	0.00123225	-0.0285931	0.0203382	-0.0177119	-0.0310114	-0.00845424	0.00213678
0_Vitis_riparia	x078_588653	NA	-0.0464825	7.93E-05	0.00953474	0.00180105	-0.0263348	0.0191893	-0.0159385	-0.0275913	-0.00993755	-0.000187837
0_Vitis_riparia	x079_588710	NA	-0.0493405	-0.000643165	0.00961257	0.00109783	-0.0418776	0.0311254	-0.0259169	-0.0469014	-0.0104214	-0.00608621
0_Vitis_riparia	x080_588710	NA	-0.0497873	0.00132538	0.00963202	0.000841625	-0.0443614	0.0322977	-0.0271469	-0.0498408	-0.0121646	-0.00530185
0_Vitis_riparia	x081_588710	NA	-0.0491389	-0.000105055	0.00800413	0.00256831	-0.040987	0.0296034	-0.0248086	-0.0470738	-0.0133623	-0.00356735
0_Vitis_riparia	x082_588710	NA	-0.0499645	0.000578143	0.00857396	0.00103572	-0.0425577	0.0322992	-0.0268464	-0.0515643	-0.0128346	-0.00445457
0_Vitis_riparia	x083_588710	NA	-0.0484262	0.000566913	0.00776595	0.000597232	-0.0414983	0.0294014	-0.0278311	-0.0513708	-0.0148049	-0.00824743
0_Vitis_riparia	x084_588710	NA	-0.0499814	-0.000270982	0.0080187	0.000489457	-0.0418463	0.0307419	-0.0261243	-0.051596	-0.0125204	-0.00775053
0_Vitis_riparia	x085_588710	NA	-0.0502162	0.00012135	0.00938492	0.000306315	-0.0407138	0.0306663	-0.0237241	-0.0468056	-0.0126896	-0.00359288
0_Vitis_riparia	x086_588710	NA	-0.0508865	0.000600095	0.00988452	0.00130051	-0.0440492	0.0333109	-0.0280888	-0.0499644	-0.0115233	-0.00531284
0_Vitis_riparia	x087_588710	NA	-0.0492045	-0.000526647	0.00877061	0.00106285	-0.0417486	0.0304598	-0.0283005	-0.0493427	-0.01091	-0.00461551
0_Vitis_riparia	x088_588710	NA	-0.0496631	0.000311178	0.00918843	0.000290108	-0.0432067	0.0325395	-0.0252639	-0.0517745	-0.0118504	-0.00623548
0_Vitis_riparia	x089_588710	NA	-0.049665	-0.000142428	0.00707598	0.000551239	-0.0401408	0.0303783	-0.02855	-0.0479616	-0.0109611	-0.00795073
0_Vitis_riparia	x090_588710	NA	-0.0504682	-0.000173232	0.00894018	0.00129604	-0.0437003	0.0326053	-0.0281859	-0.051238	-0.0133509	-0.00618109
0_Vitis_riparia	x091_588710	NA	-0.0501623	7.01E-05	0.00916382	0.0011212	-0.0398208	0.0300693	-0.0277615	-0.0444794	-0.0106193	-0.0041181
0_Vitis_riparia	x092_588710	NA	-0.0513403	0.000468385	0.00916048	0.00197214	-0.0409886	0.0299859	-0.0262877	-0.0477961	-0.0132415	-0.0037153
0_Vitis_riparia	x093_588710	NA	-0.0497087	-8.69E-05	0.00869981	0.000211934	-0.0411725	0.0310565	-0.0262221	-0.0506719	-0.0137375	-0.00304359
0_Vitis_riparia	x094_588710	NA	-0.0493577	0.000284624	0.00835075	0.00197841	-0.0406991	0.0306309	-0.0251249	-0.0484127	-0.013874	-0.0089152
0_Vitis_riparia	x095_588710	NA	-0.0485181	0.000266674	0.00781659	-0.000302426	-0.0388453	0.0290823	-0.0229451	-0.0473884	-0.0137083	-0.00474873
0_Vitis_riparia	x096_588710	NA	-0.0495322	0.000279539	0.00898764	0.000292882	-0.0419063	0.03025	-0.0258105	-0.0495052	-0.0123878	-0.00403904
0_Vitis_riparia	x097_588710	NA	-0.0490517	0.000192332	0.00909846	0.000307628	-0.0408328	0.0286011	-0.025243	-0.0461942	-0.00987311	-0.00586316
0_Vitis_riparia	x098_588710	NA	-0.0501882	-0.000169877	0.00965887	0.000307343	-0.0440818	0.031711	-0.0277087	-0.0488255	-0.0123527	-0.00775483
0_Vitis_riparia	x099_588710	NA	-0.0495023	0.000945706	0.0091396	0.000932224	-0.0417296	0.029397	-0.0275243	-0.049076	-0.0151199	-0.00511202
0_Vitis_riparia	x100_588718	NA	-0.0460977	-0.00125055	0.00958957	0.000738934	-0.0249363	0.017842	-0.0170838	-0.022812	-0.00543474	-0.000147114
0_Vitis_riparia	x101_594344	NA	-0.0460117	0.000959677	0.00964395	0.00154268	-0.0262336	0.0170867	-0.0162251	-0.0278633	-0.00818332	-0.000446145
1_Vitis_acerifolia	x102_1583	NA	-0.0428675	-0.00171383	0.00597967	0.000827606	0.0235256	-0.0262118	0.0242369	0.0796146	0.0349535	-0.044781
1_Vitis_acerifolia	x103_318684	NA	-0.043222	-0.00051372	0.00629626	0.000855288	-0.00676512	0.000278991	-0.00371731	0.00144605	0.000573687	0.000366377
1_Vitis_acerifolia	x104_588141	NA	-0.0422509	-0.0013399	0.00479162	0.00114628	0.0243644	-0.027247	0.0228991	0.0782838	0.0345376	-0.0452479
1_Vitis_acerifolia	x105_588144	NA	-0.0422579	-0.00170992	0.00519089	0.001632	0.0241218	-0.0277216	0.0245469	0.0792974	0.0340193	-0.0433369
1_Vitis_acerifolia	x106_588324	NA	-0.0422596	-0.00184235	0.00547009	0.00105115	0.0236391	-0.027116	0.0237694	0.0760868	0.0340496	-0.044346
1_Vitis_acerifolia	x107_588325	NA	-0.0419137	-0.00175678	0.00583282	0.00164162	0.0242737	-0.0274852	0.0251375	0.0786711	0.0345492	-0.0447554
1_Vitis_acerifolia	x108_588393	NA	-0.0414745	-0.00230783	0.00534973	0.00214998	0.00819949	-0.0100524	0.00817339	0.0270065	0.0114171	-0.0056122
1_Vitis_acerifolia	x109_588442	NA	-0.041393	-0.00124762	0.00603946	0.00413883	0.0149396	-0.0190373	0.0136476	0.0540832	0.0228778	-0.0319336
1_Vitis_acerifolia	x110_588448	NA	-0.0392715	-0.00368767	0.00348846	0.00029633	0.0210784	-0.0233842	0.0201136	0.0658365	0.0267447	-0.0339013
1_Vitis_acerifolia	x111_588448	NA	-0.0396006	-0.00342217	0.00387988	0.00100233	0.0243136	-0.0252697	0.0214748	0.0690094	0.0277986	-0.0331011
1_Vitis_acerifolia	x112_588448	NA	-0.038685	-0.00175753	0.00372226	-1.69E-05	0.0217351	-0.0231576	0.0173382	0.0646129	0.0262187	-0.0295747
1_Vitis_acerifolia	x113_588448	NA	-0.0178045	0.0138251	-0.0732314	-0.0250503	-0.0673058	-0.0147711	-0.0121747	-0.013601	-0.00239532	0.013268
1_Vitis_acerifolia	x114_588448	NA	-0.0395643	-0.00338164	0.00364355	-0.000168451	0.0239016	-0.0236868	0.0207371	0.0657314	0.0273744	-0.0305749
1_Vitis_acerifolia	x115_588459	NA	-0.0418705	-0.00221022	0.00431222	0.000723004	0.0404376	-0.0343097	0.0362046	0.130567	0.0531667	-0.0888144
1_Vitis_acerifolia	x116_588459	NA	-0.0418278	-0.00301149	0.00347032	0.00016951	0.0417481	-0.0339732	0.0356393	0.131515	0.0536588	-0.0904713
1_Vitis_acerifolia	x117_588459	NA	-0.0421879	-0.00145778	0.00479491	0.000994808	0.0410161	-0.0386948	0.0368413	0.129038	0.0519478	-0.0876036
1_Vitis_acerifolia	x118_588459	NA	-0.0419196	-0.00332731	0.0027318	0.00145003	0.0425915	-0.0386765	0.0363878	0.122202	0.0491347	-0.0868188
1_Vitis_acerifolia	x119_588459	NA	-0.042772	-0.00301838	0.00382966	0.00194167	0.0398425	-0.036742	0.0352804	0.124404	0.050758	-0.0827823
1_Vitis_acerifolia	x120_588459	NA	-0.0418079	-0.00263469	0.00452246	0.00131769	0.0405272	-0.0336291	0.0344325	0.126998	0.0504621	-0.0883641
1_Vitis_acerifolia	x121_588459	NA	-0.0430349	-0.00285486	0.00436969	7.30E-05	0.0372803	-0.0342464	0.0341092	0.11257	0.046236	-0.073549
1_Vitis_acerifolia	x122_588459	NA	-0.0420477	-0.00276591	0.0028094	0.00155461	0.0458755	-0.0390281	0.0362963	0.13671	0.0541031	-0.0885274
1_Vitis_acerifolia	x123_588459	NA	-0.0429359	-0.00294055	0.00342128	-0.000221289	0.0360204	-0.0321528	0.0333686	0.114477	0.0465263	-0.0788735
1_Vitis_acerifolia	x124_588459	NA	-0.0434156	-0.00261955	0.00267481	0.000174492	0.0449907	-0.0387151	0.0376882	0.13772	0.0558516	-0.0931371
1_Vitis_acerifolia	x125_588459	NA	-0.0430605	-0.00193554	0.00393489	0.00154223	0.0390766	-0.035924	0.0367843	0.121254	0.0473289	-0.082424
1_Vitis_acerifolia	x126_588459	NA	-0.0415692	-0.00319736	0.00360544	0.00109478	0.0409272	-0.0363243	0.0342174	0.122664	0.0506809	-0.0784605
1_Vitis_acerifolia	x127_588459	NA	-0.0402625	-0.00194598	-0.000273347	0.00072448	0.0441366	-0.0356725	0.0335072	0.117596	0.0475152	-0.0893475
1_Vitis_acerifolia	x128_588459	NA	-0.0429167	-0.00230314	0.00389952	0.000769558	0.0401263	-0.037041	0.0377385	0.123413	0.0494059	-0.0843052
1_Vitis_acerifolia	x129_588459	NA	-0.0432407	-0.00143	0.00513935	0.00224165	0.037076	-0.033875	0.0343331	0.121428	0.04663	-0.0819059
1_Vitis_acerifolia	x130_588459	NA	-0.0424579	-0.00226384	0.00549518	0.00159244	0.037672	-0.033833	0.0360964	0.120759	0.0476844	-0.0812128
1_Vitis_acerifolia	x131_588459	NA	-0.0431004	-0.00252761	0.00402922	0.00151981	0.0415119	-0.0379604	0.0371773	0.127341	0.0506804	-0.0838742
1_Vitis_acerifolia	x132_588459	NA	-0.0424997	-0.0024218	0.00342081	0.00150024	0.0417779	-0.0402438	0.0379416	0.126536	0.0491095	-0.0852079
1_Vitis_acerifolia	x133_588459	NA	-0.0422845	-0.00319628	0.00428596	0.0028541	0.0386633	-0.0390241	0.0350619	0.121509	0.047248	-0.0818181
1_Vitis_acerifolia	x134_588459	NA	-0.0425622	-0.00334439	0.00482033	0.0013359	0.0395489	-0.0365793	0.0345044	0.123163	0.0493195	-0.0852828
1_Vitis_acerifolia	x135_588459	NA	-0.0428518	-0.00246876	0.00397493	0.000701424	0.0352858	-0.0345362	0.0344548	0.119746	0.0471392	-0.0844585
1_Vitis_acerifolia	x136_588459	NA	-0.0421364	-0.00337821	0.00345083	0.00116095	0.036665	-0.0333881	0.036491	0.119123	0.0493112	-0.0815063
2_Vitis_rupestris	x137_588147	NA	-0.0307956	-0.00254421	0.00213916	0.0033255	0.0673054	-0.0609405	0.0333116	0.029283	-0.00174939	0.117165
2_Vitis_rupestris	x138_588160	NA	-0.0320375	-0.00139431	0.00133437	0.00408787	0.0657609	-0.0606004	0.0369878	0.0266643	0.00483591	0.112001
2_Vitis_rupestris	x139_588181	NA	-0.0289934	-0.00323769	0.00244657	0.00428556	0.06617	-0.0599556	0.0318141	0.0276998	0.00123936	0.109864
2_Vitis_rupestris	x140_588188	NA	-0.0285881	-0.00459006	0.00299828	0.00399856	0.0550473	-0.0556995	0.019024	0.0260034	-0.0066089	0.0894855
2_Vitis_rupestris	x141_588225	NA	-0.0329498	-0.00317683	0.00154653	0.00105183	0.0471814	-0.0398258	0.0213167	0.0343915	0.00506325	0.0636405
2_Vitis_rupestris	x142_588228	NA	-0.0331922	-0.00311733	0.00189262	0.00341732	0.0580349	-0.0527787	0.0315792	0.0254806	0.00385683	0.0926382
2_Vitis_rupestris	x143_588229	NA	-0.0323237	-0.00257834	0.00189467	0.0029736	0.0535841	-0.0504971	0.0260144	0.0204228	-0.00383833	0.102343
2_Vitis_rupestris	x144_588330	NA	-0.0323814	-0.00122602	0.00164878	0.00349491	0.0631743	-0.0582395	0.0396447	0.0215195	-0.00204529	0.117335
2_Vitis_rupestris	x145_588331	NA	-0.0304174	-0.00492542	0.00223634	0.00496037	0.0541234	-0.0534438	0.0257524	0.0386362	0.00803516	0.0669234
2_Vitis_rupestris	x146_588333	NA	-0.0329695	-0.00130512	0.00116313	0.00141347	0.0732525	-0.065299	0.0345236	0.0286433	0.00835942	0.11798
2_Vitis_rupestris	x147_588355	NA	-0.0309712	-0.00302151	0.00156112	0.00203112	0.0599574	-0.0570249	0.0290226	0.0247241	-0.00206558	0.103538
2_Vitis_rupestris	x148_588415	NA	-0.0358212	-0.00276604	0.00182166	0.00121355	0.0531141	-0.0450687	0.0365064	0.0431737	0.00793949	0.0651861
2_Vitis_rupestris	x149_588454	NA	-0.033773	0.00398605	-0.0122894	-0.00417344	0.0623556	-0.0188271	0.0803434	-0.0335215	-0.0224735	0.12638
2_Vitis_rupestris	x150_588454	NA	-0.0149207	0.0104561	-0.032108	-0.010737	0.164586	-0.0552753	0.194351	-0.0540844	-0.0484966	0.267305
2_Vitis_rupestris	x151_588454	NA	-0.0177098	0.00816357	-0.02684	-0.00862927	0.160212	-0.0599341	0.185892	-0.0452776	-0.0477805	0.270002
2_Vitis_rupestris	x152_588454	NA	-0.0248944	0.00571182	-0.0236994	-0.0080036	0.137236	-0.059297	0.159388	-0.0243015	-0.0333753	0.246996
2_Vitis_rupestris	x153_588454	NA	-0.0239868	0.00718486	-0.0252241	-0.00858303	0.144183	-0.0580161	0.168738	-0.0349135	-0.0385666	0.26331
2_Vitis_rupestris	x154_588454	NA	-0.0174329	0.00958003	-0.0248542	-0.00787899	0.152417	-0.053327	0.183519	-0.0461261	-0.0461505	0.2503
2_Vitis_rupestris	x155_588454	NA	-0.0301298	0.00183615	-0.00674746	-0.00212577	0.0819587	-0.0436793	0.0854883	-0.00323177	-0.0140589	0.152446
2_Vitis_rupestris	x156_588540	588540	0.0682947	-0.0366336	-0.000575451	0.00227422	0.052923	-0.0844466	-0.139606	0.128391	-0.428418	-0.0282289
2_Vitis_rupestris	x157_588574	NA	-0.0360387	-0.00148499	0.00364332	0.0027481	0.0501968	-0.0445701	0.0262941	0.0309411	0.0103664	0.0700936
3_Vitis_cinerea	x158_171	171	0.0715707	-0.0424687	0.00301517	-0.00371882	0.0614424	-0.0894674	-0.150679	0.146334	-0.483415	-0.0387328
3_Vitis_cinerea	x159_588134	NA	0.109688	-0.1573	0.0364762	-0.0512262	-0.00901732	0.0120742	0.0133663	-0.0120805	0.0365472	0.00430146
3_Vitis_cinerea	x160_588186	NA	0.112191	-0.160633	0.0356624	-0.0540809	-0.0123094	0.0151802	0.0140944	-0.0142348	0.0309294	0.0013669
3_Vitis_cinerea	x161_588197	NA	0.110453	-0.159479	0.0362051	-0.0543228	-0.0109551	0.015963	0.0151126	-0.0120221	0.034205	-0.00349547
3_Vitis_cinerea	x162_588198	NA	0.108699	-0.154613	0.033442	-0.0524902	-0.0103836	0.0121511	0.0156862	-0.0121096	0.0355563	0.0015165
3_Vitis_cinerea	x163_588199	NA	0.107838	-0.153198	0.0345697	-0.0528339	-0.0111023	0.012842	0.0136833	-0.00971603	0.0330839	0.00135182
